
1* Interacao:
Posicao: [412, 34, 24, 6, 0.5584] -> Acuracia: 98.4%, Precisao: 96.2%, Recall: 90.7%, Performance: 95.1%
Posicao: [401, 50, 8, 1, 0.7704] -> Acuracia: 98.8%, Precisao: 99.7%, Recall: 90.7%, Performance: 96.4%
Posicao: [410, 50, 6, 1, 0.7923] -> Acuracia: 98.8%, Precisao: 100.0%, Recall: 90.5%, Performance: 96.4%
Posicao: [355, 50, 10, 1, 1] -> Acuracia: 98.2%, Precisao: 100.0%, Recall: 85.3%, Performance: 94.5%
Posicao: [351, 41, 36, 1, 0.2215] -> Acuracia: 98.7%, Precisao: 97.9%, Recall: 91.0%, Performance: 95.9%

9* Interacao:
Posicao: [500, 46, 11, 1, 1] -> Acuracia: 98.2%, Precisao: 99.7%, Recall: 87.4%, Performance: 95.1%
Posicao: [378, 49, 6, 2, 0.7301] -> Acuracia: 98.7%, Precisao: 100.0%, Recall: 90.3%, Performance: 96.3%
Posicao: [491, 50, 9, 1, 0.6855] -> Acuracia: 98.7%, Precisao: 100.0%, Recall: 90.3%, Performance: 96.3%
Posicao: [476, 50, 12, 1, 0.5035] -> Acuracia: 98.8%, Precisao: 100.0%, Recall: 91.1%, Performance: 96.6%
Posicao: [381, 49, 6, 1, 0.9725] -> Acuracia: 98.7%, Precisao: 100.0%, Recall: 90.8%, Performance: 96.5%
Posicao: [412, 36, 22, 5, 0.5741] -> Acuracia: 98.6%, Precisao: 99.2%, Recall: 90.6%, Performance: 96.1%
Posicao: [426, 50, 8, 1, 0.6239] -> Acuracia: 98.7%, Precisao: 100.0%, Recall: 90.6%, Performance: 96.4%
Posicao: [425, 50, 8, 1, 0.5687] -> Acuracia: 98.7%, Precisao: 100.0%, Recall: 90.8%, Performance: 96.5%
Posicao: [416, 50, 9, 1, 0.706] -> Acuracia: 98.7%, Precisao: 100.0%, Recall: 90.8%, Performance: 96.5%
Posicao: [311, 39, 29, 1, 0.1] -> Acuracia: 97.9%, Precisao: 95.6%, Recall: 88.9%, Performance: 94.1%

10* Interacao:
Posicao: [500, 47, 13, 1, 1] -> Acuracia: 97.7%, Precisao: 99.5%, Recall: 86.5%, Performance: 94.6%
Posicao: [412, 50, 7, 1, 0.656] -> Acuracia: 98.8%, Precisao: 100.0%, Recall: 92.9%, Performance: 97.2%
Posicao: [481, 50, 10, 1, 0.7358] -> Acuracia: 98.8%, Precisao: 99.8%, Recall: 92.9%, Performance: 97.2%
Posicao: [477, 50, 12, 1, 0.4351] -> Acuracia: 98.9%, Precisao: 100.0%, Recall: 93.1%, Performance: 97.3%
Posicao: [436, 50, 5, 1, 0.8337] -> Acuracia: 98.7%, Precisao: 99.8%, Recall: 92.4%, Performance: 97.0%
Posicao: [417, 36, 22, 5, 0.6159] -> Acuracia: 98.3%, Precisao: 97.0%, Recall: 92.4%, Performance: 95.9%
Posicao: [422, 50, 8, 1, 0.6496] -> Acuracia: 99.0%, Precisao: 100.0%, Recall: 94.1%, Performance: 97.7%
Posicao: [430, 50, 9, 1, 0.495] -> Acuracia: 98.9%, Precisao: 100.0%, Recall: 93.5%, Performance: 97.5%
Posicao: [476, 50, 5, 1, 0.4832] -> Acuracia: 98.8%, Precisao: 100.0%, Recall: 92.4%, Performance: 97.1%
Posicao: [292, 36, 26, 1, 0.1] -> Acuracia: 97.6%, Precisao: 97.7%, Recall: 87.1%, Performance: 94.1%

11* Interacao:
Posicao: [500, 48, 14, 1, 1] -> Acuracia: 98.8%, Precisao: 99.8%, Recall: 92.6%, Performance: 97.1%
Posicao: [384, 49, 8, 3, 0.778] -> Acuracia: 98.8%, Precisao: 99.3%, Recall: 92.8%, Performance: 97.0%
Posicao: [445, 50, 10, 1, 0.7435] -> Acuracia: 98.9%, Precisao: 99.5%, Recall: 93.5%, Performance: 97.3%
Posicao: [416, 50, 6, 1, 0.7018] -> Acuracia: 98.8%, Precisao: 99.5%, Recall: 92.4%, Performance: 96.9%
Posicao: [464, 50, 7, 1, 0.6118] -> Acuracia: 99.2%, Precisao: 99.8%, Recall: 94.8%, Performance: 97.9%
Posicao: [422, 35, 23, 5, 0.6356] -> Acuracia: 98.3%, Precisao: 95.1%, Recall: 93.5%, Performance: 95.6%
Posicao: [453, 50, 7, 1, 0.657] -> Acuracia: 99.0%, Precisao: 99.8%, Recall: 93.5%, Performance: 97.4%
Posicao: [460, 50, 8, 1, 0.5456] -> Acuracia: 98.9%, Precisao: 99.5%, Recall: 93.5%, Performance: 97.3%
Posicao: [500, 50, 3, 1, 0.4805] -> Acuracia: 99.0%, Precisao: 99.8%, Recall: 93.7%, Performance: 97.5%
Posicao: [288, 34, 25, 1, 0.1038] -> Acuracia: 98.7%, Precisao: 98.4%, Recall: 92.8%, Performance: 96.6%

12* Interacao:
Posicao: [500, 49, 15, 1, 1] -> Acuracia: 98.9%, Precisao: 99.8%, Recall: 93.0%, Performance: 97.2%
Posicao: [457, 50, 7, 2, 0.6617] -> Acuracia: 98.7%, Precisao: 98.8%, Recall: 92.5%, Performance: 96.7%
Posicao: [437, 50, 7, 1, 0.6192] -> Acuracia: 98.8%, Precisao: 99.8%, Recall: 92.3%, Performance: 97.0%
Posicao: [378, 50, 2, 1, 0.9054] -> Acuracia: 98.4%, Precisao: 98.8%, Recall: 90.2%, Performance: 95.8%
Posicao: [486, 50, 8, 1, 0.4347] -> Acuracia: 99.0%, Precisao: 100.0%, Recall: 93.4%, Performance: 97.5%
Posicao: [429, 34, 25, 6, 0.631] -> Acuracia: 98.2%, Precisao: 95.1%, Recall: 92.7%, Performance: 95.3%
Posicao: [476, 50, 7, 1, 0.6215] -> Acuracia: 98.9%, Precisao: 99.8%, Recall: 92.5%, Performance: 97.1%
Posicao: [436, 50, 6, 1, 0.5341] -> Acuracia: 99.0%, Precisao: 100.0%, Recall: 93.2%, Performance: 97.4%
Posicao: [500, 50, 3, 1, 0.5191] -> Acuracia: 98.9%, Precisao: 100.0%, Recall: 92.7%, Performance: 97.2%
Posicao: [305, 33, 27, 1, 0.1823] -> Acuracia: 99.0%, Precisao: 99.0%, Recall: 93.9%, Performance: 97.3%

13* Interacao:
