1* Interacao:
Posicao: [6.9491, 383, 1, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [7.6747, 397, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [5.7381, 357, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [7.644, 402, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [7.7876, 248, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.7169, 314, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.4976, 431, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.9242, 457, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.0502, 432, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

Melhor Posicao: [8.7207, 445, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

8* Interacao:
Posicao: [9.4913, 416, 1, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.8193, 377, 1, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [6.743, 368, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [5.6945, 360, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [8.1475, 425, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.5252, 191, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [5.5883, 244, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [7.5724, 417, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.9674, 457, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [9.0157, 459, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

Melhor Posicao: [8.7207, 445, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

9* Interacao:
Posicao: [8.3824, 494, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.7613, 374, 1, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [7.8448, 418, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [5.7688, 366, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [8.3985, 442, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [9.6348, 369, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [5.6536, 254, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.8203, 417, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.3452, 422, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.7033, 432, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

Melhor Posicao: [8.7207, 445, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

10* Interacao:
Posicao: [8.6166, 424, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.761, 373, 1, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [9.7801, 493, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [5.8645, 374, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [8.4758, 449, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [9.7484, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.4025, 304, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.5808, 423, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [7.4917, 376, 1, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.3054, 420, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

Melhor Posicao: [8.7207, 445, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%


Performance no teste: 75.9%, 76.0%, 46.3%
