1* Interacao:
Posicao: [922, 0.283, 10, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 74.8%, Precisao: 63.4%, Recall: 65.0%, Performance: 65.9%
Posicao: [833, 0.2841, 11, 0.5, 0.5671, 2, 0, 0, 10] -> Acuracia: 73.9%, Precisao: 61.9%, Recall: 65.0%, Performance: 65.4%
Posicao: [963, 0.2579, 11, 0.525, 0.5636, 1, 0, 0, 10] -> Acuracia: 72.2%, Precisao: 59.1%, Recall: 65.0%, Performance: 64.3%
Posicao: [839, 0.266, 11, 0.5301, 0.5917, 2, 1, 1, 10] -> Acuracia: 73.9%, Precisao: 62.5%, Recall: 62.5%, Performance: 64.1%
Posicao: [867, 0.2946, 11, 0.5, 0.5063, 3, 0, 0, 10] -> Acuracia: 73.0%, Precisao: 60.5%, Recall: 65.0%, Performance: 64.9%
Posicao: [769, 0.2717, 11, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 73.9%, Precisao: 62.5%, Recall: 62.5%, Performance: 64.1%
Posicao: [748, 0.2728, 11, 0.5, 0.5, 3, 0, 0, 10] -> Acuracia: 78.3%, Precisao: 66.7%, Recall: 75.0%, Performance: 73.1%
Posicao: [767, 0.2846, 10, 0.5436, 0.6469, 2, 0, 1, 10] -> Acuracia: 73.9%, Precisao: 63.2%, Recall: 60.0%, Performance: 62.9%
Posicao: [563, 0.3, 12, 0.5, 0.5439, 3, 0, 0, 10] -> Acuracia: 71.3%, Precisao: 58.5%, Recall: 60.0%, Performance: 61.2%
Posicao: [862, 0.281, 11, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 73.9%, Precisao: 61.9%, Recall: 65.0%, Performance: 65.4%

Melhor Posicao: [748, 0.2728, 11, 0.5, 0.5, 3, 0, 0, 10] -> Acuracia: 78.3%, Precisao: 66.7%, Recall: 75.0%, Performance: 73.1%


Performance no teste: 71.6%, 65.4%, 41.5%
