1* Interacao:
Posicao: [30, 0, 1, 52] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 0, 46] -> Acuracia: 85.5%, Precisao: 66.7%, Recall: 0.3%, Performance: 31.4%
Posicao: [30, 0, 1, 51] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [26, 1, 0, 35] -> Acuracia: 85.5%, Precisao: 60.0%, Recall: 0.9%, Performance: 29.9%
Posicao: [30, 0, 1, 39] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 0, 52] -> Acuracia: 85.5%, Precisao: 66.7%, Recall: 0.3%, Performance: 31.4%
Posicao: [26, 0, 1, 61] -> Acuracia: 85.5%, Precisao: 66.7%, Recall: 0.3%, Performance: 31.4%
Posicao: [30, 0, 1, 52] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [19, 1, 2, 24] -> Acuracia: 85.5%, Precisao: 58.8%, Recall: 1.5%, Performance: 29.9%

Melhor Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%

Performance no Teste -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.2%
