1* Interacao:
Melhor Posicao: [592, 0.1261, 100, 15, 0.8895, 0.628, 33, 1.9948, 1.7508] -> Acuracia: 79.1%, Precisao: 69.0%, Recall: 72.5%, Performance: 72.4%

6* Interacao:
Posicao: [682, 0.0117, 128, 15, 1, 0.7377, 40, 2.5272, 2.0384] -> Acuracia: 77.4%, Precisao: 67.5%, Recall: 67.5%, Performance: 68.9%
Posicao: [844, 0.1219, 94, 15, 0.8813, 0.6192, 33, 1.7394, 1.8558] -> Acuracia: 77.4%, Precisao: 67.5%, Recall: 67.5%, Performance: 68.9%
Posicao: [259, 0.1055, 104, 15, 0.9472, 0.6154, 33, 1.2506, 2.0574] -> Acuracia: 77.4%, Precisao: 67.5%, Recall: 67.5%, Performance: 68.9%
Posicao: [550, 0.1185, 102, 15, 0.8962, 0.6209, 32, 2.0333, 1.7085] -> Acuracia: 78.3%, Precisao: 68.3%, Recall: 70.0%, Performance: 70.7%
Posicao: [701, 0.0958, 118, 15, 0.8624, 0.5846, 33, 2.2151, 1.3811] -> Acuracia: 76.5%, Precisao: 65.9%, Recall: 67.5%, Performance: 68.3%
Posicao: [223, 0.0618, 80, 15, 0.9271, 0.7193, 23, 2.9815, 0.421] -> Acuracia: 78.3%, Precisao: 67.4%, Recall: 72.5%, Performance: 71.9%
Posicao: [614, 0.0286, 128, 3, 0.6842, 0.7146, 32, 4.025, 0.5644] -> Acuracia: 75.7%, Precisao: 65.0%, Recall: 65.0%, Performance: 66.5%
Posicao: [731, 0.1564, 94, 15, 0.8431, 0.6559, 33, 2.7156, 1.5991] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [594, 0.1686, 81, 15, 0.932, 0.6855, 35, 1.6785, 1.3472] -> Acuracia: 76.5%, Precisao: 65.9%, Recall: 67.5%, Performance: 68.3%
Posicao: [812, 0.1194, 103, 15, 0.8303, 0.6262, 31, 2.6182, 1.9073] -> Acuracia: 76.5%, Precisao: 65.9%, Recall: 67.5%, Performance: 68.3%

Melhor Posicao: [592, 0.1261, 100, 15, 0.8895, 0.628, 33, 1.9948, 1.7508] -> Acuracia: 79.1%, Precisao: 69.0%, Recall: 72.5%, Performance: 72.4%

7* Interacao:
Posicao: [679, 0.077, 114, 15, 1, 0.68, 34, 2.2212, 1.8222] -> Acuracia: 78.3%, Precisao: 68.3%, Recall: 70.0%, Performance: 70.7%
Posicao: [100, 0.0178, 128, 15, 0.9645, 0.6241, 24, 0.3134, 3.4215] -> Acuracia: 75.7%, Precisao: 70.0%, Recall: 52.5%, Performance: 60.8%
Posicao: [592, 0.134, 94, 15, 0.8761, 0.6521, 31, 2.1818, 1.8507] -> Acuracia: 78.3%, Precisao: 68.3%, Recall: 70.0%, Performance: 70.7%
Posicao: [568, 0.1308, 98, 15, 0.8957, 0.6326, 34, 1.7587, 1.8686] -> Acuracia: 76.5%, Precisao: 65.9%, Recall: 67.5%, Performance: 68.3%
Posicao: [646, 0.1467, 108, 15, 0.8823, 0.6428, 33, 2.1192, 1.8721] -> Acuracia: 77.4%, Precisao: 67.5%, Recall: 67.5%, Performance: 68.9%
Posicao: [113, 0.0549, 84, 15, 0.8601, 0.7022, 24, 2.9718, 0.2187] -> Acuracia: 78.3%, Precisao: 69.2%, Recall: 67.5%, Performance: 69.5%
