iter	Passed	Remaining
679	15528	20415
680	15550	20392
681	15573	20368
682	15596	20346
683	15620	20325
684	15644	20304
685	15668	20282
686	15690	20258
687	15713	20235
688	15735	20212
689	15758	20189
690	15780	20165
691	15803	20143
692	15827	20121
693	15851	20099
694	15874	20076
695	15898	20055
696	15920	20032
697	15943	20008
698	15965	19985
699	15988	19963
700	16012	19940
701	16035	19918
702	16058	19896
703	16081	19874
704	16105	19851
705	16127	19828
706	16150	19805
707	16172	19781
708	16195	19758
709	16218	19736
710	16242	19714
711	16265	19692
712	16288	19669
713	16311	19646
714	16335	19625
715	16357	19601
716	16380	19579
717	16402	19555
718	16425	19532
719	16449	19510
720	16471	19487
721	16495	19465
722	16518	19442
723	16540	19419
724	16562	19395
725	16584	19371
726	16606	19347
727	16628	19324
728	16652	19302
729	16675	19279
730	16699	19257
731	16722	19235
732	16744	19211
733	16767	19188
734	16789	19165
735	16812	19141
736	16835	19119
737	16858	19097
738	16881	19074
739	16905	19052
740	16928	19029
741	16950	19006
742	16972	18982
743	16994	18959
744	17016	18935
745	17039	18912
746	17062	18890
747	17086	18868
748	17110	18846
749	17132	18823
750	17155	18799
751	17177	18776
752	17201	18754
753	17224	18731
754	17247	18709
755	17262	18678
756	17286	18656
757	17309	18634
758	17333	18611
759	17355	18588
760	17378	18565
761	17400	18542
762	17423	18519
763	17446	18496
764	17469	18474
765	17492	18452
766	17517	18430
767	17540	18407
768	17562	18385
769	17585	18362
770	17607	18338
771	17630	18315
772	17653	18292
773	17676	18269
774	17699	18247
775	17723	18225
776	17732	18188
777	17755	18165
778	17777	18142
779	17800	18120
780	17822	18096
781	17845	18073
782	17868	18051
783	17892	18029
784	17916	18007
785	17940	17985
786	17963	17963
787	17986	17940
788	18008	17917
789	18031	17894
790	18054	17871
791	18077	17849
792	18101	17827
793	18124	17804
794	18148	17783
795	18171	17760
796	18194	17737
797	18216	17714
798	18237	17690
799	18260	17666
800	18282	17643
801	18305	17620
802	18329	17598
803	18353	17577
804	18376	17554
805	18399	17532
806	18422	17509
807	18444	17485
808	18466	17462
809	18489	17439
810	18511	17416
811	18536	17394
812	18560	17372
813	18582	17350
814	18605	17327
815	18627	17303
816	18651	17281
817	18673	17257
818	18695	17234
819	18718	17212
820	18741	17189
821	18765	17167
822	18788	17144
823	18810	17121
824	18833	17098
825	18855	17074
826	18878	17051
827	18900	17028
828	18923	17005
829	18946	16983
830	18970	16961
831	18993	16939
832	19017	16916
833	19039	16893
834	19061	16870
835	19084	16847
836	19106	16824
837	19129	16801
838	19153	16779
839	19176	16756
840	19199	16734
841	19223	16711
842	19245	16688
843	19268	16666
844	19291	16643
845	19314	16620
846	19336	16597
847	19359	16574
848	19382	16551
849	19406	16529
850	19429	16507
851	19452	16484
852	19477	16463
853	19499	16440
854	19522	16417
855	19544	16393
856	19567	16371
857	19591	16348
858	19614	16326
859	19638	16304
860	19660	16281
861	19683	16258
862	19706	16235
863	19729	16212
864	19751	16189
865	19774	16167
866	19799	16145
867	19823	16123
868	19846	16101
869	19868	16077
870	19891	16054
871	19913	16031
872	19935	16007
873	19957	15984
874	19981	15962
875	20005	15940
876	20029	15918
877	20052	15895
878	20074	15872
879	20097	15849
880	20120	15826
881	20143	15803
882	20166	15781
883	20189	15758
884	20212	15736
885	20236	15714
886	20259	15691
887	20281	15668
888	20305	15645
889	20327	15622
890	20350	15599
891	20372	15576
892	20396	15554
893	20419	15531
894	20443	15509
895	20467	15487
896	20489	15463
897	20511	15440
898	20533	15417
899	20556	15394
900	20578	15371
901	20602	15349
902	20626	15326
903	20649	15304
904	20673	15282
905	20697	15260
906	20720	15237
907	20742	15214
908	20766	15192
909	20789	15169
910	20813	15147
911	20819	15112
912	20842	15089
913	20866	15067
914	20879	15037
915	20901	15014
916	20924	14991
917	20930	14956
918	20952	14933
